exp,subjects,id,prem1,prem2,prem3,concl,consistent,figure,det,porder,memory,dc_read,rtp1,rtp2,rtp3,rtc,correct1,answer,valid,indet,move,write,group,dir_c,total,link
comparison2,43,125,A left B,C left D,D left A,C right A,0,1,1,6,0,0,10250,7308,9735,7113,86,0,0,0,9,6,2,3,22,http://spatialmentalmodels.appspot.com/construct?&p1t1=A&p1rel=left&p1t2=B&p2t1=C&p2rel=left&p2t2=D&p3t1=D&p3rel=left&p3t2=A&ct1=C&crel=right&ct2=A
comparison2,43,71,A right B,C right D,B right C,A right C,1,4,1,6,0,0,10634,7469,10249,6885,65,1,1,0,7,6,2,3,20,http://spatialmentalmodels.appspot.com/construct?&p1t1=A&p1rel=right&p1t2=B&p2t1=C&p2rel=right&p2t2=D&p3t1=B&p3rel=right&p3t2=C&ct1=A&crel=right&ct2=C
comparison2,43,70,A right B,C right A,B right D,C right B,1,4,1,4,0,0,9623,7009,7539,8012,83,1,1,0,9,4,0,3,16,http://spatialmentalmodels.appspot.com/construct?&p1t1=A&p1rel=right&p1t2=B&p2t1=C&p2rel=right&p2t2=A&p3t1=B&p3rel=right&p3t2=D&ct1=C&crel=right&ct2=B
comparison2,43,128,A right B,C right D,D right A,B right D,0,4,1,5,0,0,10641,7888,7874,6792,90,0,0,0,8,6,2,2,20,http://spatialmentalmodels.appspot.com/construct?&p1t1=A&p1rel=right&p1t2=B&p2t1=C&p2rel=right&p2t2=D&p3t1=D&p3rel=right&p3t2=A&ct1=B&crel=right&ct2=D
comparison2,43,59,A right B,C right D,B right C,B right D,1,4,1,6,0,0,10110,6520,8103,6106,62,1,1,0,6,6,2,2,18,http://spatialmentalmodels.appspot.com/construct?&p1t1=A&p1rel=right&p1t2=B&p2t1=C&p2rel=right&p2t2=D&p3t1=B&p3rel=right&p3t2=C&ct1=B&crel=right&ct2=D
comparison2,43,93,A right B,B right C,D right A,A left C,0,4,1,3,0,0,10195,7571,7442,8095,79,0,0,0,10,4,0,3,17,http://spatialmentalmodels.appspot.com/construct?&p1t1=A&p1rel=right&p1t2=B&p2t1=B&p2rel=right&p2t2=C&p3t1=D&p3rel=right&p3t2=A&ct1=A&crel=left&ct2=C
comparison2,43,92,A right B,C right D,D right A,D left B,0,4,1,5,0,0,9442,7409,8567,7503,83,0,0,0,8,6,2,2,20,http://spatialmentalmodels.appspot.com/construct?&p1t1=A&p1rel=right&p1t2=B&p2t1=C&p2rel=right&p2t2=D&p3t1=D&p3rel=right&p3t2=A&ct1=D&crel=left&ct2=B
comparison2,43,95,A right B,C right D,B right C,B left D,0,4,1,6,0,0,11204,9172,12495,9674,79,0,0,0,8,6,2,2,20,http://spatialmentalmodels.appspot.com/construct?&p1t1=A&p1rel=right&p1t2=B&p2t1=C&p2rel=right&p2t2=D&p3t1=B&p3rel=right&p3t2=C&ct1=B&crel=left&ct2=D
comparison2,43,94,A right B,C right A,B right D,A left D,0,4,1,4,0,0,7939,7269,8249,8145,83,0,0,0,8,4,0,3,15,http://spatialmentalmodels.appspot.com/construct?&p1t1=A&p1rel=right&p1t2=B&p2t1=C&p2rel=right&p2t2=A&p3t1=B&p3rel=right&p3t2=D&ct1=A&crel=left&ct2=D
comparison2,43,104,A right B,C right D,D right A,C left A,0,4,1,5,0,0,10562,9143,9280,8297,76,0,0,0,9,6,2,3,22,http://spatialmentalmodels.appspot.com/construct?&p1t1=A&p1rel=right&p1t2=B&p2t1=C&p2rel=right&p2t2=D&p3t1=D&p3rel=right&p3t2=A&ct1=C&crel=left&ct2=A
comparison2,43,58,A right B,C right A,B right D,A right D,1,4,1,4,0,0,9903,6120,8464,7925,79,1,1,0,8,4,0,3,15,http://spatialmentalmodels.appspot.com/construct?&p1t1=A&p1rel=right&p1t2=B&p2t1=C&p2rel=right&p2t2=A&p3t1=B&p3rel=right&p3t2=D&ct1=A&crel=right&ct2=D
comparison2,43,15,A left B,C left A,B left D,C left B,1,1,1,3,0,0,8174,6887,8330,5992,81,1,1,0,9,4,0,3,16,http://spatialmentalmodels.appspot.com/construct?&p1t1=A&p1rel=left&p1t2=B&p2t1=C&p2rel=left&p2t2=A&p3t1=B&p3rel=left&p3t2=D&ct1=C&crel=left&ct2=B
comparison2,43,14,A left B,C left D,B left C,A left C,1,1,1,5,0,0,9096,6604,10362,6375,72,1,1,0,7,6,2,3,20,http://spatialmentalmodels.appspot.com/construct?&p1t1=A&p1rel=left&p1t2=B&p2t1=C&p2rel=left&p2t2=D&p3t1=B&p3rel=left&p3t2=C&ct1=A&crel=left&ct2=C
comparison2,43,17,A left B,C left D,D left A,C left A,1,1,1,6,0,0,9634,6409,11509,6452,69,1,1,0,7,6,2,3,20,http://spatialmentalmodels.appspot.com/construct?&p1t1=A&p1rel=left&p1t2=B&p2t1=C&p2rel=left&p2t2=D&p3t1=D&p3rel=left&p3t2=A&ct1=C&crel=left&ct2=A
comparison2,43,16,A left B,B left C,D left A,D left B,1,1,1,4,0,0,7364,5766,6851,7293,83,1,1,0,7,4,0,2,13,http://spatialmentalmodels.appspot.com/construct?&p1t1=A&p1rel=left&p1t2=B&p2t1=B&p2rel=left&p2t2=C&p3t1=D&p3rel=left&p3t2=A&ct1=D&crel=left&ct2=B
comparison2,43,33,A right B,B right C,D right A,B left D,1,4,1,3,0,0,7905,8799,7737,7095,79,1,1,0,7,4,0,2,13,http://spatialmentalmodels.appspot.com/construct?&p1t1=A&p1rel=right&p1t2=B&p2t1=B&p2rel=right&p2t2=C&p3t1=D&p3rel=right&p3t2=A&ct1=B&crel=left&ct2=D
comparison2,43,32,A right B,C right D,D right A,A left C,1,4,1,5,0,0,9557,9526,9797,7063,74,1,1,0,7,6,2,2,19,http://spatialmentalmodels.appspot.com/construct?&p1t1=A&p1rel=right&p1t2=B&p2t1=C&p2rel=right&p2t2=D&p3t1=D&p3rel=right&p3t2=A&ct1=A&crel=left&ct2=C
comparison2,43,57,A right B,B right C,D right A,A right C,1,4,1,3,0,0,12505,7334,7411,7637,72,1,1,0,10,4,0,3,17,http://spatialmentalmodels.appspot.com/construct?&p1t1=A&p1rel=right&p1t2=B&p2t1=B&p2rel=right&p2t2=C&p3t1=D&p3rel=right&p3t2=A&ct1=A&crel=right&ct2=C
comparison2,43,56,A right B,C right D,D right A,D right B,1,4,1,5,0,0,11650,7209,10887,6937,69,1,1,0,6,6,2,2,18,http://spatialmentalmodels.appspot.com/construct?&p1t1=A&p1rel=right&p1t2=B&p2t1=C&p2rel=right&p2t2=D&p3t1=D&p3rel=right&p3t2=A&ct1=D&crel=right&ct2=B
comparison2,43,51,A left B,C left A,B left D,B right C,1,1,1,3,0,0,9334,5583,6372,10736,74,1,1,0,11,4,0,4,19,http://spatialmentalmodels.appspot.com/construct?&p1t1=A&p1rel=left&p1t2=B&p2t1=C&p2rel=left&p2t2=A&p3t1=B&p3rel=left&p3t2=D&ct1=B&crel=right&ct2=C
comparison2,43,50,A left B,C left D,B left C,C right A,1,1,1,5,0,0,9225,8131,7871,7059,62,1,1,0,7,6,2,2,19,http://spatialmentalmodels.appspot.com/construct?&p1t1=A&p1rel=left&p1t2=B&p2t1=C&p2rel=left&p2t2=D&p3t1=B&p3rel=left&p3t2=C&ct1=C&crel=right&ct2=A
comparison2,43,35,A right B,C right D,B right C,C left A,1,4,1,6,0,0,10168,8325,10225,7750,65,1,1,0,7,6,2,2,19,http://spatialmentalmodels.appspot.com/construct?&p1t1=A&p1rel=right&p1t2=B&p2t1=C&p2rel=right&p2t2=D&p3t1=B&p3rel=right&p3t2=C&ct1=C&crel=left&ct2=A
comparison2,43,34,A right B,C right A,B right D,B left C,1,4,1,4,0,0,10772,6608,7880,7155,79,1,1,0,11,4,0,4,19,http://spatialmentalmodels.appspot.com/construct?&p1t1=A&p1rel=right&p1t2=B&p2t1=C&p2rel=right&p2t2=A&p3t1=B&p3rel=right&p3t2=D&ct1=B&crel=left&ct2=C
comparison2,43,131,A right B,C right D,B right C,D right B,0,4,1,6,0,0,9027,6167,7829,7178,86,0,0,0,8,6,2,2,20,http://spatialmentalmodels.appspot.com/construct?&p1t1=A&p1rel=right&p1t2=B&p2t1=C&p2rel=right&p2t2=D&p3t1=B&p3rel=right&p3t2=C&ct1=D&crel=right&ct2=B
comparison2,43,89,A left B,C left D,D left A,A left C,0,1,1,6,0,0,9269,7008,10572,7924,86,0,0,0,7,6,2,2,19,http://spatialmentalmodels.appspot.com/construct?&p1t1=A&p1rel=left&p1t2=B&p2t1=C&p2rel=left&p2t2=D&p3t1=D&p3rel=left&p3t2=A&ct1=A&crel=left&ct2=C
comparison2,43,88,A left B,B left C,D left A,B left D,0,1,1,4,0,0,8372,6029,7783,9154,83,0,0,0,7,4,0,2,13,http://spatialmentalmodels.appspot.com/construct?&p1t1=A&p1rel=left&p1t2=B&p2t1=B&p2rel=left&p2t2=C&p3t1=D&p3rel=left&p3t2=A&ct1=B&crel=left&ct2=D
comparison2,43,137,A left B,C left D,D left A,D right B,0,1,1,6,0,0,6528,6436,9925,7711,79,0,0,0,8,6,2,2,20,http://spatialmentalmodels.appspot.com/construct?&p1t1=A&p1rel=left&p1t2=B&p2t1=C&p2rel=left&p2t2=D&p3t1=D&p3rel=left&p3t2=A&ct1=D&crel=right&ct2=B
comparison2,43,65,A left B,C left D,D left A,B right D,1,1,1,6,0,0,10934,7874,9236,8208,65,1,1,0,6,6,2,2,18,http://spatialmentalmodels.appspot.com/construct?&p1t1=A&p1rel=left&p1t2=B&p2t1=C&p2rel=left&p2t2=D&p3t1=D&p3rel=left&p3t2=A&ct1=B&crel=right&ct2=D
